1,No.,机舱号,7
2,Name,风机号,15
3,Status,状态,5
4,Total_tot,累计发电量,18
5,Wind,风速,7
6,Power,功率,8
7,Gen,发电机转速,10
8,Rotor,叶轮转速,12
9,Amb,环境温度,9
10,Nac,机舱温度,9
11,Gen1,发电机1的温度,9
12,Bear,轴承温度,10
13,Gear,齿轮油温度,9
14,Pitch,桨距角度,8
15,Hydr,液压油温度,9
16,Top,顶部温度,8
17,Gen0_Kwh_tot,累计消耗电量（有功）,17
18,Gen1_Kwh_tot,累计毛发电量（有功）,17
19,Gen0_KVArh_tot,累计消耗电量（无功）,19
20,Gen1_KVArh_tot,累计毛发电量（无功）,19
21,Total_KVArh_tot,累计发电量（无功）,20
22,Run_tot,累计运行小时数,12
23,Gen1_tot,累计并网小时数,13
24,voltage_p1,一相电压,15
25,voltage_p2,二相电压,15
26,voltage_p3,三相电压,15
27,Current_p1,一相电流,21
28,Current_p2,二相电流,21
29,Current_p3,三相电流,21
30,Error,故障,8
